Costume collections from the Royal Pavilion and Museums, Brighton & Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
"The collector of this staybone, F.W. Lucas had a particular interest in objects made from natural or animal material."",dmas_ct003322_ud01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
CT003581,Costume,Football Shirt,,Adidas,1983,,,,,,,Football shirt worn by Gary Stevens of Brighton & Hove Albion at the F.A. Cup final at Wembley Stadium on 21 May 1983 against Manchester United.,dmas_ct003581_d02_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
CT003587,Costume,Bodice: Jacket,,,1810-c1830;" Regency,,,,,,,""This is a dark red silk velvet waistcoat. It is trimmed with silver braid and lined with cerise silk. It forms part of the costume worn by Sake Deen Mahomed. This item was donated to Brighton Museum & Art Gallery in 1949.";;;;;;;
"Brighton's most famous baths were built by Sake Deen Mahomed, who was born in India and moved to Brighton in 1786. He set up the first 'Turkish' baths in the country and offered indoor bathing, steam rooms and massage, then known as shampooing, as medical cures. After writing publications on the success of his cures, he became 'Shampooing Surgeon' to King George IV and William IV. Sake Deen died in 1851 aged 102."",dmas_ct003587_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
"CT003618,Costume,Mannequin,,Adel Rootstein,1979,,,,,,,""This is a mannequin modelled on 1980s supermodel Marie Helvin. The mannequin's body is white and the head is covered with a wig of shoulder-length black hair, with a loose curl. The face has been heavily kohl-ed around the eyes, has orange blusher on the cheekbones and red lips. The mannequin's posture is slightly contraposto and the arms are stretched out across the body to the mannequin's right. The mannequin stands on a glass base."",dmas_ct003618_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
CT003649,Costume,Belt,,Unrecorded,,,,,Traveller,Leather;" Metal,,""This is a black leather studded belt worn by a Traveller between 1980 and 1990. ";;;;;;;
Studded belts are a popular feature of the Traveller style and they illustrate the influence Punk has had on the subculture (studded belts were first worn by the Punks in the 1970_s).;;;;;;;;
"The belt was donated, as part of a complete Traveller outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003649_d02_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
CT003652,Costume,Earring,,Unrecorded,,,,,Traveller,Stone or Ceramic; Brass;" Metal,,""This is a brass earring worn by a Traveller c1980-1990. The earring, which has four blue decorations, is an example of a Traveller style where lots of jewellery is worn to accessorise an outfit creating an individual look.";;;;;;
"The earring was donated, as part of a complete Traveller outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003652_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
"CT003653,Costume,Earring or Nosering,,Unrecorded,,,,,Traveller,Metal,,""This is a small silver coloured hooped metal earring/ nose ring worn by a Traveller c1980-1990. The earring/ nose ring is an example of a Traveller style where lots of jewellery is worn to accessorise an outfit creating an individual look.";;;;;;;;
"The earring/ nose ring was donated, as part of a complete Traveller outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003653_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
CT003777,Costume,Shorts,,Mambo,2000,,,,,Rayon;  Metal;" Plastic,,""This is a pair of orange shorts designed by Mambo of Australia in 2000. They are made of rayon printed with flowers, stylised panda bear heads and blue stripes around the legs.  These shorts have a fitted waistband. ";;;;;;
"The print and colours of the shorts make them a typical Mambo design for a British market. Mambo was founded in Australia by Dare Jennings in 1984, and they are known for their bright, patterned beach and surf clothes. There are now Mambo shops worldwide, with a licensed chain in Britain, including a shop in Brighton."",dmas_ct003777_d04d_cc1024.jpg";;;;;;;;
"CT003813,Costume,Coat,,Shirin Guild,2000,,,,,Wool,,""This is a red wool abba coat made in London in 2000 by Shirin Guild.";;;;;;;;
 ;;;;;;;;
This coat is based on the traditional Iranian abba coat, which is a large square cut cloak, worn to protect from the dust and weather in the Middle East. In Arabia, Syria, and some areas of Iran, wealthy Arabs wear silk versions of the abba coat, woven with gold or silver patterns in gilt thread. ;;;;;;;;
"Shirin Guild launched her own label in London in 1991. Her outfits, which are loose fitting and simple, are inspired by the men_s wear from her native Iran.  Using yarns made from paper, hemp, bamboo and steel covered with silk, Shirin Guild reworks traditional male Iranian dress for the modern day woman. In this case she has taken the abba coat and recreated it in a striking vivid red."",dmas_ct003813_d01_cc1024.jpg";;;;;;;;
"CT003814,Costume,Corset,,Pearl,1997,,,,,,,""This is a man's corset created by the prestigious corset maker Mr. Pearl. Made of black satin, the corset has a design of small satin floral motifs and is bound at the top and bottom with black satin ribbon. It was made in two parts which lace at the centre.";;;;;;;;
"The corset was made for Alistair Carr as a birthday present in 1997."",dmas_ct003814_d01_cc1024.jpg";;;;;;;;
CT003821,Costume,Jacket,,Unicorn,2000,,,,Teddy Boy,Wool;" Velvet,,""This is a lime green wool jacket made by Unicorn clothing company in 2000, worn by a Teddy Boy. The jacket is three quarter length with a black collar, green lapels, two diagonal breast pockets and a button fastening. The jacket is an example of the original 1950_s Teddy Boy style which, based on an Edwardian suit, included a shirt, waistcoat, _drainpipe_ trousers (tight trousers), _drape_ jacket (long jacket) and shoes. The jacket was donated, as part of a complete Teddy Boy outfit to Brighton Museum in 2000. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003821_d01_cc1024.jpg";;;;;;;
CT003825,Costume,Shoes,,Violet Promotions,2000,,,,Teddy Boy,Leather; Suede;" Metal,,""This is a pair of blue and black shoes, made in 2000 by Violet shoe company, worn by a Teddy Boy. The shoes have thick creped cream soles, four silver d shaped hooks with black laces threaded through, the toe and tongue section of the shoe are in bright blue suede with a design of thick black stitching, the rest of the shoe is black leather. The shoes are known as _brothel creepers_, and were a popular item of the Teddy Boy style.";;;;;;
"The shoes were donated, as part of a complete Teddy Boy outfit to Brighton Museum in 2000. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003825_d01_cc1024.jpg";;;;;;;;
"CT003850,Costume,Pendant,,Unrecorded,Mid 1980s,,,,Goth,Metal,,""This is a silver coloured pendant in the shape of a frog skeleton, made in the mid 1980_s, worn by a Goth. The pendant is an example of the original Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look. ";;;;;;;;
"The pendant was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003850_d01_cc1024.jpg";;;;;;;;
CT003851,Costume,Necklace,,Unrecorded,Mid 1980s,,,,Goth,Leather;" Metal,,""This is a beaded necklace, made in the mid 1980_s, worn by a Goth. The necklace has strands of gold, silver and black leather thongs, yellow, purple, and clear beads, with metal, silver, gold, and bronze coloured beads, moulded and stamped. The necklace is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look. The necklace was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003851_d01_cc1024.jpg";;;;;;;
CT003853,Costume,Necklace,,Unrecorded,Mid 1980s,,,,Goth,Leather; Ceramic;" Glass,,""This is a beaded necklace, made in the mid 1980_s, worn by a Goth. The necklace, which has purple, black and clear beads and a black leather thong, is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;
"The necklace was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003853_d01_cc1024.jpg";;;;;;;;
CT003854,Costume,Ring,,Unrecorded,Mid 1980s,,,,Goth,Silver;" Stone,,""This is a silver ring in the shape of two snakes with green stones eyes, made in the mid 1980_s, worn by a Goth. The ring is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;
"The ring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003854_d01_cc1024.jpg";;;;;;;;
"CT003855,Costume,Ring,,Unrecorded,Mid 1980s,,,,Goth,Silver,,""This is a small silver ring in the shape of two snakes, made in the mid 1980_s, worn by a Goth. The ring is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;;
"The ring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003855_d01_cc1024.jpg";;;;;;;;
"CT003857,Costume,Ring,,Unrecorded,Mid 1980s,,,,Goth,Silver,,""This is a ring in the shape of a human skull, made in the mid 1980_s, worn by a Goth. The ring is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;;
"The ring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003857_d01_cc1024.jpg";;;;;;;;
"CT003858,Costume,Ring,,Unrecorded,Mid 1980s,,,,Goth,Silver,,""This is a large ring made in the mid 1980_s, worn by a Goth. The ring, which has a plaited design with a central band of scrolls, is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;;
"The ring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003858_d01_cc1024.jpg";;;;;;;;
CT003859,Costume,Ring,,Unrecorded,Mid 1980s,,,,Goth,Metal;" Stone,,""This is a ring with an orange stone, made in the mid 1980_s, worn by a Goth. The ring is an example of the early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;
"The ring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003859_d01_cc1024.jpg";;;;;;;;
CT003860,Costume,Ring,,Unrecorded,Mid 1980s,,,,Goth,Silver;" Stone,,""This is a ring with purple stones, made in the mid 1980_s, worn by a Goth. The ring is an example of the early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;
"The ring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003860_d01_cc1024.jpg";;;;;;;;
"CT003861,Costume,Pendant,,Unrecorded,Mid 1980s,,,,Goth,Metal,,""This is a pendant with skeletal forms, made in the mid 1980_s, worn by a Goth. The pendant is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;;
"The pendant was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003861_d01_cc1024.jpg";;;;;;;;
CT003862,Costume,Brooch,,Unrecorded,Mid 1980s,,,,Goth,Silver; Stone;" Enamel,,""This is a silver brooch with large blue and enamelled stones, made in the mid 1980_s, worn by a Goth. The brooch is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;
"The brooch was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003862_d01_cc1024.jpg";;;;;;;;
CT003863,Costume,Brooch,,Unrecorded,Mid 1980s,,,,Goth,Metal;" Stone,,""This is a diamond shaped, pewter coloured metal brooch, made in the mid 1980_s, worn by a Goth. The brooch, which is in the art deco style, is pewter coloured with a green stone green stone and is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;
"The brooch was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003863_d01_cc1024.jpg";;;;;;;;
"CT003865,Costume,Necklace,,Unrecorded,Mid 1980s,,,,Goth,Silver,,""This is a necklace made in the mid 1980_s, worn by a Goth. The necklace, which has black beads, is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;;
"The necklace was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003865_d01_cc1024.jpg";;;;;;;;
CT003866,Costume,Pendant,,Unrecorded,Mid 1980s,,,,Goth,Silver;" Stone,,""This is a silver coloured pendant made in the mid 1980_s, worn by a Goth. The pendant, which is in the shape of a spider, is an example of the early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look.";;;;;;;
"The pendant was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003866_d01_cc1024.jpg";;;;;;;;
"CT003867,Costume,Pendant,,Unrecorded,Mid 1980s,,,,Goth,Silver,,""This is an earring made in the mid 1980_s, worn by a Goth. The earring is in the shape of a five-pointed star with a circle around it, known as a pentacle. The earring is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look"; pentacles were popular because of their association with the occult, and/or their ability to shock. ;;;;;;;
"The earring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003867_d01_cc1024.jpg";;;;;;;;
"CT003868,Costume,Earring,,Unrecorded,Mid 1980s,,,,Goth,Metal,,""This is an earring worn by a Goth in the 1980_s. The earring is in the shape of a skull with a hinged jaw and is an example of the early Goth style where lots of jewellery, was worn to accessorise an outfit creating an individual look, jewellery in the shape of skulls were popular.";;;;;;;;
"The earring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003868_d01_cc1024.jpg";;;;;;;;
"CT003869,Costume,Pendant,,Unrecorded,Mid 1980s,,,,Goth,Metal,,""This is an earring worn by a Goth in the 1980_s. The earring is in an Egyptian style with crowned cobra, eye and crowned ibis and is an example of an early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look. Egyptian style jewellery in particular was popular.";;;;;;;;
"The earring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003869_d01_cc1024.jpg";;;;;;;;
"CT003870,Costume,Pendant,,Unrecorded,Mid 1980s,,,,Goth,Metal,,""This is an earring made in the mid 1980_s, worn by a Goth. The earring is in an moulded in the shape of an Egyptian eye and is an example of the early Goth style where lots of jewellery was worn to accessorise an outfit creating an individual look"; Egyptian inspired jewellery in particular was popular.;;;;;;;
"The earring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003870_d01_cc1024.jpg";;;;;;;;
"CT003871,Costume,Earring,,Unrecorded,Mid 1980s,,,,Goth,Metal,,""This is an earring made in the mid 1980_s, worn by a Goth. ";;;;;;;;
This earring, which is in the shape of a skull, is an example of the early Goth style where lots of jewellery (often featuring skulls) were worn to accessorise an outfit creating an individual look.;;;;;;;;
"This earring was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003871_d01_cc1024.jpg";;;;;;;;
"CT003874,Costume,Bracelet,,Unrecorded,Mid 1980s,,,,Goth,Plastic,,""This is a black plastic bangle, made in the mid 1980_s, worn by a Goth. The bangle is an example of the early Goth style where lots of bangles were worn to accessorise an outfit creating an individual look.";;;;;;;;
"The bangle was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003874_d01_cc1024.jpg";;;;;;;;
"CT003875,Costume,Bracelets,,Unrecorded,Mid 1980s,,,,Goth,Rubber,,""This is a set of fourteen black rubber bracelets, made in the mid 1980_s, worn by a Goth. ";;;;;;;;
These bracelets are an example of the early Goth style, lots of jewellery was worn accessorising an outfit creating an individual look, and bracelets and bangles would often reach right up to the elbow.;;;;;;;;
"These bracelets were donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003875_d01_cc1024.jpg";;;;;;;;
CT003876,Costume,Bracelets,,Unrecorded,Mid 1980s,,,,Goth,Metal;" Shell,,""This is a silver coloured bracelet, made in the mid 1980_s, worn by a Goth. The bracelet, which is inlaid with lilac shell, is an example of an early Goth style where many bracelets were worn to accessorise an outfit creating an individual look.";;;;;;;
"The bracelet was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003876_d01_cc1024.jpg";;;;;;;;
CT003877,Costume,Bracelet,,Unrecorded,Mid 1980s,,,,Goth,Silver;" Shell mother of pearl,,""This silver bracelet was made in Mexico in the mid 1980_s, worn by a Goth in England. ";;;;;;;
This bracelet, which is inlaid with mother of pearl, is an example of an early Goth style where many bracelets were worn to accessorise an outfit creating an individual look.;;;;;;;;
"This bracelet was donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003877_d01_cc1024.jpg";;;;;;;;
CT003878,Costume,Bracelet,,Unrecorded,Mid 1980s,,,,Goth,Silver;" Metal,,""This is a pair of bracelets made in the mid 1980_s, worn by a Goth. The bracelets, which are silver-plated, are an example of an early Goth style where many bracelets were worn to accessorise an outfit creating an individual look.";;;;;;;
"The bracelets were donated, as part of a complete Goth outfit to Brighton Museum in 1999. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003878_d01_cc1024.jpg";;;;;;;;
CT003880,Costume,Brassiere,,Playtex,2000,,,,,textile nylon;" textile polyester,,""This is a cleavage-enhancing 'Wonderbra' made by Playtex in 2000. It is made of a black nylon, polyester amd elastine mix, has satin weave cups with underwire support and a nylon compartment for padded supports to be inserted. The two cups are joined by a gold clasp stamped 'W' through which two cords pass to produce adjustable cleavage."",dmas_ct003880_d01_cc1024.jpg";;;;;;;
"CT003883,Costume,Wig,,,1920s,,,,,,,""This is an early 1920s woman's wig made of silver metallic thread. The 'hair' has been styled in a fashion contemporary with the period, with an off-centre parting and length curled up at the lower hair line."",dmas_ct003883_d01_cc1024.jpg";;;;;;;;
CT003888,Costume,Jeans,,Unrecorded,,,,,Biker,Denim;" Metal,,""This is a pair of blue denim jeans worn by a Biker on his wedding day at Hove Registry Office in 1990. ";;;;;;;
These jeans, which are heavily patched and covered with oil and grease stains, are an example of the Biker style; clothes are hard wearing and practical able to withstand the wear and tear associated with riding and maintaining a large motorbike. ;;;;;;;
"These jeans were donated to Brighton Museum in 2001 as part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003888_d02_cc1024.jpg";;;;;;;;
CT003890,Costume,Dress,,Alexander McQueen,2001,,,,,Silk;" Metal,,""This is a light pink silk dress made in London in 2001 by Alexander McQueen.  ";;;;;;;
"This dress is sleeveless with a draping neckline and light pink braces as shoulder straps. The dress is printed with a large bold Indian _cone_ motif in white, red, light and dark green and brown, which runs diagonally around the dress.  The use of braces (traditionally worn by men) on this pink woman_s dress is an example of Alexander McQueen_s unique style, which at times has rocked the fashion world. Alexander McQueen set up his own label in 1994 and is respected for his creativity and technical skill, as well as his ability to surprise."",dmas_ct003890_d01_cc1024.jpg";;;;;;;;
"CT003891,Costume,Jacket,,Unrecorded,1967-c1968,,,,Hippy,Brocade textile,,""This is a yellow jacket made around 1968, worn by a Hippy.";;;;;;;;
This Oriental style jacket has a high mandarin collar and an embroidered Chinese pattern of flowers in light yellow, pink, blue and green. Many Hippy clothes and styles were influenced by other cultures, partly due to the amount of Hippies that travelled in the 1960_s (most famously on the _Hippy trail_) but also because Hippy_s believed in a inclusive world which valued and respected all cultures. As a result Hippies often incorporated clothes and accessories from other cultures into their look.;;;;;;;;
"This jacket was donated to Brighton Museum in 2001. The jacket is part of the Renegade collection illustrating the history of sub cultures in Brighton."",dmas_ct003891_d01_cc1024.jpg";;;;;;;;
"CT003894,Costume,Bag,,Lulu Guinness,2001,,,,,Satin,,""This is a Lulu Guinness bag made in London in 2001. ";;;;;;;;
This satin bag has been made to look as if it is a small black wicker basket filled with pink flowers. The lid of the basket, which has the fabric flowers attached to it, lifts up so items can be placed inside; the handles of the basket are also the handles of the bag which is designed to be carried around by hand, rather than slung over the shoulder.;;;;;;;
"Lulu Guinness is a self-taught designer who started her own label in 1989. She revolutionised women_s handbags when she launched her sculpted bags in the 1990_s.  The bags, which came in all shapes and sizes (from a London bus to a woman_s corset), had never been seen before but they were an instant hit. Widely copied they are now a common sight on our high streets."",dmas_ct003894_d01_cc1024.jpg";;;;;;;;
CT003895,Costume,Jacket,,Unrecorded,c1977,,,,Punk,Leather;" Metal,,""This is a black leather jacket made c1977, worn by a Punk. The jacket has been customised with the slogan _Highly Fucking Offensive_ painted on one arm in white and a patch added to the other arm reading _Triumph_. On the back is a painted scene in black and white of soldiers, an atomic cloud, a swastika, a crucifix, the red stripes of a union jack and the date _1984_ (this is a reference to the novel by George Orwell) all surrounding the words _Killing Joke_. The jacket is an example of the Punk style, which was dark and aggressive, in direct opposition to the Hippy subculture that had gone before. Clothes - like this jacket - were hand painted with angry slogans and symbols such as the swastika, designed to shock. ";;;;;;;
"The jacket was donated to Brighton Museum in 2001and is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003895_d03_cc1024.jpg";;;;;;;;
CT003937,Costume,Jacket,,Sarn V,2001,,,,Goth,PVC; Plastic;" Metal,,""This is a black PVC jacket - part of a complete PVC outfit made and worn by the donor in Brighton in 2001. ";;;;;;
This jacket is in a Neo Victorian style with a standing collar, fitted waist that flares out with a clear PVC label with NVC on it attached to the front. This jacket is an example of a contemporary Goth style that has moved away from the original style of the 1980_s. Inspired by London_s fetish scene tight PVC clothes are worn teamed with high-heeled boots.  However it is still important to make, customise or alter your clothes yourself to create an individual look.;;;;;;;;
"This jacket was bought, as part of a complete Goth outfit by Brighton Museum in 2001. The outfit is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003937_d01_cc1024.jpg";;;;;;;;
CT003948,Costume,Bag,,,c1934,,,,,Velvet; Rayon; Silk; Glass;  Metal;" Enamel,,""This is a small black velvet evening bag made around 1934.    ";;;
This bag looks like a large purse, it has a metal clasp enamelled with flowers and is on a short metal chain to be carried by hand or over the wrist, as oppose to being slung over the shoulder.  This bag is decorated with a garden scene in silk embroidery and glass beads. Bright colourful flowerbeds surround a winding path with two fir trees in the distance on a black velvet background. ;;;;;;;;
"Scenes of a typical English country garden were very popular in the 1930_s and they appeared on ceramics, as well as bags."",dmas_ct003948_d01_cc1024.jpg";;;;;;;;
CT003956,Costume,Jacket,,John Lewis,1963,,,,Rocker,Leather; Metal;" Enamel,,""This is a black leather jacket made by John Lewis in London 1963, worn by a Rocker. The jacket has a red lining and lots of zipped pockets, a large zip down the front and a buckle fastening. The jacket is an example of the Rocker style"; leather jackets are popular as they are hardwearing and practical; able to withstand the wear and tear associated with riding and maintaining a large motorbike. The donor has added his own motorcycle badges to the lapels of the jacket and stencilled the date 1950 in gold letters on the shoulder, and the words ROCK-N-ROLL, UNITED TEDDY BOYS, M.C.C, BRIGHTON on the back, (the MCC stands for Motor Cycle Club). Customising leather jackets with badges, patches and stencils is popular amongst Rockers and Bikers, as a way of demonstrating membership of motorcycle clubs and attendance at motorcycle rallies.  ;;;;
"The jacket was donated to Brighton museum in 2001 and is part of the Renegade collection, which illustrates the history of subcultures in Brighton."",dmas_ct003956_d03_cc1024.jpg";;;;;;;;
CT003970,Costume,Shirt,,Excelsia,2001,,,,,Cotton;" Plastic,,""This is a colourful cotton Hawaiian style shirt made by Excelsia in Australia in 2001, worn by the Brighton based DJ Fatboy Slim (aka Norman Cook). ";;;;;;;
"This short-sleeved shirt is printed with multi coloured designs of tropical islands, palm trees, huts, flowers, and sailing boats in reds and yellows on a navy blue background. This shirt is an example of the DJ_s trademark style: he often incorporates a bright striking shirt into his look."",dmas_ct003970_d01_cc1024.jpg";;;;;;;;
"CT003971,Costume,Dress,,Catherine Walker,2001,,,,,Silk,,""This is a white silk evening dress designed by Catherine Walker in London in 2001. ";;;;;;;;
The dress is made from white silk georgette, embroidered on the front and back with a fern design in silver and gold thread, beads and diamante.  It is full length and sleeveless.  The elegant design cleverly hides an integral boned bodice. ;;;;;;;;
"This dress with its light fabric, twinkling, shimmer effect and feminine cut is typical Catherine Walker's style. Catherine Walker is a leading British couturier and was the favourite designer of the late Diana, Princess of Wales."",dmas_ct003971_d01_cc1024.jpg";;;;;;;;
